2018-10-15_13_41_33;neutral
2018-10-15_13_42_27;neutral
2018-10-15_13_42_44;neutral
2018-10-15_13_43_02;neutral
2018-10-15_13_43_19;neutral
2018-10-15_13_43_36;neutral
2018-10-15_13_43_53;neutral
2018-10-15_13_44_11;neutral
2018-10-15_13_44_28;neutral
2018-10-15_13_44_45;neutral
2018-10-15_13_45_02;neutral
2018-10-15_13_58_21;happy
2018-10-15_13_58_39;happy
2018-10-15_13_58_56;anger
2018-10-15_13_59_13;sadness
2018-10-15_13_59_30;anger
2018-10-15_13_59_47;happy
2018-11-08_12_21_31;happy
2018-11-08_12_24_34;neutral
2018-11-08_12_30_49;happy
2018-11-08_12_33_34;happy
2018-11-08_12_33_52;happy
2018-11-08_12_38_10;neutral
2018-11-08_12_38_49;neutral
2018-11-08_12_59_13;neutral
2018-11-08_13_01_28;neutral
2018-11-08_13_02_33;happy
2018-11-08_13_03_35;anger
2018-11-08_13_04_37;surprise
2018-11-08_13_05_39;happy
2018-11-08_13_06_41;happy
2018-11-08_13_07_44;happy
2018-11-08_13_08_46;happy
2018-11-08_13_09_47;happy
2018-11-08_13_10_49;happy
2018-11-08_13_11_51;neutral
2018-11-08_13_12_53;happy
2018-11-08_13_13_55;happy
2018-11-08_13_14_57;happy
2018-11-08_13_17_01;happy
2018-11-08_13_18_04;happy
2018-11-08_13_19_07;neutral
2018-11-08_13_20_08;happy
2018-11-08_13_21_11;happy
2018-11-08_13_22_15;happy
2018-11-08_13_23_20;happy
2018-11-14_16_50_23;neutral
2018-11-14_16_52_13;neutral
2018-11-14_16_54_30;neutral
2018-11-14_16_57_05;sadness
2018-11-14_16_58_07;neutral
2018-11-14_16_59_07;neutral
2018-11-14_17_00_08;neutral
2018-11-14_17_01_09;surprise
2018-11-14_17_02_10;surprise
2018-11-14_17_03_11;surprise
2018-11-14_17_04_12;sadness
2018-11-14_17_05_13;neutral
2018-11-14_17_06_14;sadness
2018-11-14_17_07_14;surprise
2018-11-14_17_09_58;neutral
2018-11-14_17_10_59;sadness
2018-11-14_17_12_00;sadness
2018-11-14_17_13_01;neutral
2018-11-14_17_14_02;surprise
2018-11-14_17_16_03;sadness
2018-11-14_17_17_04;neutral
2018-11-14_17_18_05;neutral
2018-11-14_17_19_06;surprise
2018-11-14_17_20_07;surprise
2018-11-14_17_21_08;neutral
2018-11-14_17_22_08;surprise
2018-11-14_17_23_09;surprise
2018-11-14_17_24_10;neutral
2018-11-14_17_25_11;sadness
2018-11-14_18_09_36;sadness
2018-11-14_18_10_40;happy
2018-11-14_18_11_41;sadness
2018-11-14_18_12_42;neutral
2018-11-14_18_13_42;surprise
2018-11-14_18_14_43;surprise
2018-11-14_18_23_59;neutral
2018-11-14_18_25_00;sadness
2018-11-14_18_26_01;sadness
2018-11-14_18_27_02;sadness
2018-11-14_18_28_03;sadness
2018-11-14_18_29_04;sadness
2018-11-14_18_30_05;sadness
2018-11-14_18_31_05;sadness
2018-11-14_18_32_06;sadness
2018-11-14_18_33_07;neutral
2018-11-14_18_34_08;neutral
2018-11-14_18_35_09;sadness
2018-11-14_18_36_10;happy
2018-11-14_18_37_11;neutral
2018-11-14_18_38_12;surprise
2018-11-14_19_19_02;sadness
2018-11-14_19_22_19;sadness
2018-11-14_19_23_20;sadness
2018-11-14_19_27_23;neutral
2018-11-14_19_28_37;neutral
2018-11-14_19_29_38;sadness
2018-11-14_19_45_27;sadness
2018-11-14_19_46_36;surprise
2018-11-14_19_47_38;neutral
2018-11-14_19_48_41;surprise
2018-11-14_19_51_26;happy
2018-11-14_11_37_04;happy
2018-11-14_11_38_10;happy
2018-11-14_11_39_12;happy
2018-11-14_11_40_23;happy
2018-11-14_11_41_26;happy
2018-11-14_11_42_29;neutral
2018-11-14_11_43_32;happy
2018-11-14_11_44_34;happy
2018-11-14_11_45_36;happy
2018-11-14_11_46_38;happy
2018-11-14_11_47_40;neutral
2018-11-14_11_48_42;happy
2018-11-14_11_49_44;anger
2018-11-14_11_50_46;happy
2018-11-14_11_51_48;anger
2018-11-14_11_52_51;anger
2018-11-14_11_53_53;happy
2018-11-14_11_54_55;happy
2018-11-14_11_55_57;happy
2018-11-14_11_56_59;happy
2018-11-14_11_58_01;happy
2018-11-14_11_59_03;neutral
2018-11-14_12_00_05;happy
2018-11-14_12_01_07;anger
2018-11-14_12_02_09;happy
2018-11-14_12_03_11;happy
2018-11-14_12_04_14;happy
2018-11-14_12_05_16;anger
2018-11-14_12_06_18;happy
2018-11-14_12_07_20;happy
2018-11-14_12_08_22;anger
2018-11-14_12_09_24;anger
2018-11-14_12_10_26;happy
2018-11-14_12_11_29;happy
2018-11-14_12_12_31;neutral
2018-11-14_12_13_33;happy
2018-11-14_12_14_35;happy
2018-11-14_12_15_37;neutral
2018-11-14_12_16_38;happy
2018-11-14_12_17_40;neutral
2018-11-14_12_18_42;neutral
2018-11-14_12_19_44;neutral
2018-11-14_12_20_46;sadness
2018-11-14_12_21_49;happy
2018-11-14_12_22_50;sadness
2018-11-14_12_23_52;neutral
2018-11-14_12_24_54;happy
2018-11-14_12_25_56;neutral
2018-11-14_12_26_59;neutral
2018-11-14_12_28_01;neutral
2018-11-14_12_29_03;happy
2018-11-14_12_30_05;happy
2018-11-14_12_31_07;happy
2018-11-14_12_32_09;happy
2018-11-14_12_33_11;happy
2018-11-14_12_34_13;happy
2018-11-14_12_36_17;happy
2018-11-14_12_37_19;happy
2018-11-14_12_38_21;neutral
2018-11-14_12_39_23;happy
2018-11-14_12_40_25;neutral
2018-11-14_12_41_27;anger
2018-11-14_12_42_29;neutral
2018-11-14_12_49_36;happy
2018-11-14_12_50_48;neutral
2018-11-14_12_51_50;happy
2018-11-14_12_52_52;neutral
2018-11-14_12_53_54;happy
2018-11-14_12_54_56;anger
2018-11-14_12_55_58;happy
2018-11-14_12_57_00;happy
2018-11-14_13_00_57;happy
2018-11-14_13_02_01;happy
2018-11-14_13_03_03;happy
2018-11-14_13_04_05;neutral
2018-11-14_13_05_07;happy
2018-11-14_13_06_09;happy
2018-11-14_13_07_11;happy
2018-11-14_13_08_13;neutral
2018-11-14_13_09_15;happy
2018-11-14_13_10_17;anger
2018-11-14_13_11_20;happy
2018-11-14_13_12_22;anger
2018-11-14_13_13_24;neutral
2018-11-14_13_14_26;neutral
2018-11-14_13_15_28;neutral
2018-11-14_13_16_30;neutral
2018-11-14_13_18_34;neutral
2018-11-14_13_19_36;happy
2018-11-14_13_20_38;happy
2018-11-14_13_21_41;happy
2018-11-14_13_22_43;happy
2018-11-14_13_23_45;happy
2018-11-14_13_24_47;anger
2018-11-14_13_25_49;happy
2018-11-14_13_27_53;neutral
2018-11-14_13_28_55;happy
2018-11-14_13_29_57;sadness
2018-11-14_13_30_59;happy
2018-11-14_13_33_03;sadness
2018-11-14_13_34_05;neutral
2018-11-14_13_35_07;surprise
2018-11-14_13_36_09;neutral
2018-11-14_13_37_11;sadness
2018-11-14_13_38_13;happy
2018-11-14_13_39_15;neutral
2018-11-14_13_40_17;happy
2018-11-14_13_42_21;anger
2018-11-14_13_43_23;happy
2018-11-14_13_44_25;happy
2018-11-14_13_45_27;neutral
2018-11-14_13_46_29;sadness
2018-11-14_13_47_31;happy
2018-11-14_13_48_33;happy
2018-11-14_13_51_39;surprise
2018-11-14_13_53_42;neutral
2018-11-14_13_54_44;neutral
2018-11-14_14_01_58;happy
2018-11-14_14_03_00;happy
2018-11-14_14_04_02;neutral
2018-11-14_14_05_04;sadness
2018-11-14_14_06_06;neutral
2018-11-14_14_07_08;neutral
2018-11-14_14_08_10;neutral
2018-11-14_14_09_12;neutral
2018-11-14_14_10_14;happy
2018-11-14_14_11_16;sadness
2018-11-14_14_12_19;neutral
2018-11-14_14_14_11;neutral
2018-11-19_10_34_17;sadness
2018-11-19_10_35_21;happy
2018-11-19_10_52_38;neutral
2018-11-19_10_53_47;sadness
2018-11-19_10_54_49;sadness
2018-11-19_10_55_50;neutral
2018-11-19_10_56_51;sadness
2018-11-19_10_57_52;sadness
2018-11-19_10_58_54;neutral
2018-11-19_10_59_55;neutral
2018-11-19_11_01_57;neutral
2018-11-19_11_04_00;neutral
2018-11-19_11_06_02;surprise
2018-11-19_11_08_04;sadness
2018-11-19_11_09_06;neutral
2018-11-19_11_10_07;happy
2018-11-19_11_11_08;sadness
2018-11-19_11_12_09;sadness
2018-11-19_11_13_11;surprise
2018-11-19_11_14_12;sadness
2018-11-19_11_15_13;neutral
2018-11-19_11_16_15;sadness
2018-11-19_11_17_16;sadness
2018-11-19_11_18_17;sadness
2018-11-19_11_19_18;sadness
2018-11-19_11_20_20;sadness
2018-11-19_11_21_21;happy
2018-11-19_11_23_23;happy
2018-11-19_11_24_24;neutral
2018-11-19_11_30_31;sadness
2018-11-19_11_45_47;neutral
2018-11-19_12_01_07;neutral
2018-11-19_12_37_58;neutral
2018-11-19_13_25_40;sadness
2018-11-19_13_26_50;happy
2018-11-19_13_27_51;neutral
2018-11-19_13_28_53;neutral
2018-11-19_13_29_54;sadness
2018-11-19_13_30_56;sadness
2018-11-19_13_31_57;neutral
2018-11-19_13_32_59;neutral
2018-11-19_13_34_00;sadness
2018-11-19_13_35_03;happy
2018-11-19_13_36_04;sadness
2018-11-19_13_37_06;happy
2018-11-19_13_38_07;sadness
2018-11-19_13_43_00;neutral
2018-11-19_13_44_04;neutral
2018-11-19_13_45_05;sadness
2018-11-19_13_46_28;sadness
2018-11-19_13_47_31;sadness
2018-11-19_13_48_33;neutral
2018-11-19_13_49_34;neutral
2018-11-19_13_50_35;sadness
2018-11-19_13_51_37;sadness
2018-11-19_13_52_38;surprise
2018-11-19_13_53_39;neutral
2018-11-19_13_54_40;sadness
2018-11-19_13_55_42;sadness
2018-11-19_13_57_44;surprise
2018-11-19_13_58_45;sadness
2018-11-19_13_59_47;neutral
2018-11-19_14_00_48;neutral
2018-11-19_14_08_57;happy
2018-11-19_14_18_06;neutral
2018-11-19_14_24_15;sadness
2018-11-19_14_25_18;sadness
2018-11-15_13_36_28;neutral
2018-11-15_13_37_35;neutral
2018-11-16_12_13_27;happy
2018-11-16_12_14_43;happy
2018-11-16_12_15_48;happy
2018-11-16_12_16_50;neutral
2018-11-16_12_17_54;sadness
2018-11-16_12_18_57;happy
2018-11-16_12_20_14;happy
2018-11-16_12_21_19;happy
2018-11-16_12_22_21;neutral
2018-11-16_12_24_26;neutral
2018-11-16_12_28_37;surprise
2018-11-16_12_29_42;neutral
2018-11-16_12_35_01;surprise
2018-11-16_13_52_31;happy
2018-11-16_13_53_36;happy
2018-11-16_13_54_39;happy
2018-11-16_13_55_39;anger
2018-11-16_13_55_42;happy
2018-11-16_13_56_44;happy
2018-11-16_13_57_46;neutral
2018-11-16_13_58_48;happy
2018-11-16_14_04_24;neutral
2018-11-16_14_05_26;sadness
2018-11-16_14_06_28;happy
2018-11-16_14_07_30;happy
2018-11-16_14_08_33;neutral
2018-11-16_14_09_35;sadness
2018-11-16_14_10_37;happy
2018-11-16_14_11_39;neutral
2018-11-16_14_12_41;happy
2018-11-16_14_16_48;anger
2018-11-16_14_17_51;happy
2018-11-16_14_18_53;happy
2018-11-16_14_19_55;neutral
2018-11-16_14_20_57;happy
2018-11-16_14_21_59;neutral
2018-11-16_14_23_01;happy
2018-11-16_14_24_03;anger
2018-11-16_14_25_05;happy
2018-11-16_14_26_07;happy
2018-11-16_14_27_10;happy
2018-11-16_14_28_12;anger
2018-11-19_11_35_55;happy
2018-11-19_11_37_03;happy
2018-11-19_11_40_08;neutral
2018-11-19_11_41_10;sadness
2018-11-19_11_45_17;surprise
2018-11-19_11_48_23;sadness
2018-11-19_11_49_25;neutral
2018-11-19_11_50_27;sadness
2018-11-19_11_51_29;sadness
2018-11-19_11_52_30;neutral
2018-11-19_11_53_33;neutral
2018-11-19_11_54_35;happy
2018-11-19_11_56_39;happy
2018-11-19_11_57_41;happy
2018-11-19_12_30_04;sadness
2018-11-19_12_31_07;neutral
2018-11-19_12_32_09;happy
2018-11-19_12_33_11;neutral
2018-11-19_12_34_13;neutral
2018-11-19_12_35_15;happy
2018-11-19_12_36_16;happy
2018-11-19_12_37_18;happy
2018-11-19_12_38_20;neutral
2018-11-19_12_39_22;sadness
2018-11-19_12_40_24;happy
2018-11-19_12_41_26;neutral
2018-11-19_12_42_28;sadness
2018-11-19_12_43_30;sadness
2018-11-19_12_44_31;happy
2018-11-19_12_46_35;happy
2018-11-19_12_47_37;happy
2018-11-19_12_48_39;happy
2018-11-19_12_49_41;happy
2018-11-19_12_56_51;anger
2018-11-19_12_57_53;sadness
2018-11-19_12_58_55;sadness
2018-12-14_11_06_40;sadness
2018-12-14_11_07_04;happy
2018-12-14_11_08_42;happy
2018-12-14_11_08_48;neutral
2019-01-17_12_37_54;happy
2019-01-18_10_46_18;sadness
2019-01-18_10_48_43;neutral
2019-01-18_10_52_07;happy
2019-01-18_10_53_09;happy
2019-01-18_10_57_16;neutral
2019-01-18_10_58_18;neutral
2019-01-18_10_59_21;neutral
2019-01-18_11_02_26;happy
2019-01-18_11_17_23;neutral
2019-01-18_11_24_42;neutral
2019-01-18_11_48_31;neutral
2019-01-18_11_49_36;neutral
2019-01-18_11_50_38;neutral
2019-01-18_11_51_40;sadness
2019-01-18_11_52_42;neutral
2019-01-18_11_53_44;neutral
2019-01-18_11_54_46;happy
2019-01-18_11_58_55;neutral
2019-01-18_11_59_59;neutral
2019-01-18_12_01_01;happy
2019-01-18_12_04_07;sadness
2019-01-18_12_06_11;happy
2019-01-18_12_07_13;neutral
2019-01-18_12_33_02;happy
2019-01-18_12_39_33;happy
2019-01-18_12_41_37;surprise
2019-01-18_12_42_39;happy
2019-01-18_12_43_42;neutral
2019-01-18_12_44_44;neutral
2019-01-18_12_45_48;neutral
2019-01-18_12_53_01;neutral
2019-01-18_12_54_03;neutral
2019-01-18_12_55_05;happy
2019-01-18_12_56_07;happy
2019-01-18_12_57_09;neutral
2019-01-18_12_58_11;neutral
2019-01-18_12_59_13;happy
2019-01-18_13_00_16;neutral
2019-01-18_13_01_17;neutral
2019-01-18_13_02_19;happy
2019-01-18_13_03_21;neutral
2019-01-18_13_04_23;neutral
2019-01-18_13_08_31;happy
2019-01-18_13_09_33;neutral
2019-01-18_13_10_35;happy
2019-01-18_13_11_37;happy
2019-01-18_13_12_39;happy
2019-01-18_13_13_41;sadness
2019-01-18_13_14_43;happy
2019-01-18_13_15_45;happy
2019-01-18_13_16_47;sadness
2019-01-18_13_17_49;happy
2019-01-18_13_18_51;happy
2019-01-18_13_19_53;neutral
2019-01-18_13_20_55;happy
2019-01-18_13_21_57;neutral
2019-01-18_13_22_59;neutral
2019-01-18_13_24_01;neutral
2019-01-18_13_25_03;happy
2019-01-18_13_26_05;anger
2019-01-18_13_27_07;neutral
2019-01-18_13_28_09;neutral
2019-01-18_13_29_11;happy
2019-01-18_13_30_13;neutral
2019-01-18_13_31_15;neutral
2019-01-18_13_32_17;happy
2019-01-18_13_33_20;neutral
2019-01-18_13_34_22;neutral
2019-01-18_13_35_24;neutral
2019-01-18_13_36_26;anger
2019-01-18_13_37_28;neutral
2019-01-18_13_38_30;happy
2019-01-18_13_39_32;neutral
2019-01-18_13_40_34;neutral
2019-01-18_13_41_36;neutral
2019-01-18_13_42_38;neutral
2019-01-18_13_43_40;neutral
2019-01-18_13_44_42;surprise
2019-01-18_13_45_43;happy
2019-01-18_13_46_45;happy
2019-01-18_13_47_49;happy
2019-01-18_13_48_51;neutral
2019-01-18_13_49_53;happy
2019-01-18_13_50_55;neutral
2019-01-18_13_51_57;neutral
2019-01-18_13_52_59;neutral
2019-01-18_13_54_01;anger
2019-01-18_13_55_03;happy
2019-01-18_13_56_05;sadness
2019-01-18_13_57_07;neutral
2019-01-18_13_58_09;neutral
2019-01-18_13_59_11;happy
2019-01-18_14_02_13;happy
2019-01-18_14_03_16;happy
2019-01-18_14_05_20;sadness
2019-01-18_14_06_22;happy
2019-01-18_14_07_24;neutral
2019-01-18_14_08_26;neutral
2019-01-21_12_33_55;neutral
2019-01-21_12_36_03;neutral
2019-01-21_12_39_09;neutral
2019-01-21_12_40_12;neutral
2019-01-21_12_41_14;happy
2019-01-21_12_42_16;happy
2019-01-21_12_43_18;happy
2019-01-21_12_44_20;neutral
2019-01-21_12_45_22;happy
2019-01-21_12_46_24;neutral
2019-01-21_12_48_28;surprise
2019-01-21_12_49_30;happy
2019-01-21_12_50_32;happy
2019-01-21_12_51_35;neutral
2019-01-21_12_52_37;happy
2019-01-21_12_53_39;anger
2019-01-21_12_54_41;sadness
2019-01-21_12_55_43;neutral
2019-01-21_12_56_45;neutral
2019-01-21_12_57_47;happy
2019-01-21_12_58_49;anger
2019-01-21_13_01_56;sadness
2019-01-21_13_02_58;neutral
2019-01-21_13_04_00;neutral
2019-01-21_13_05_01;happy
2019-01-21_13_09_09;surprise
2019-01-21_13_10_10;neutral
2019-01-21_13_11_12;happy
2019-01-21_13_12_14;neutral
2019-01-21_13_13_16;neutral
2019-01-21_13_14_18;neutral
2019-01-21_13_15_20;neutral
2019-01-21_13_19_27;sadness
2019-01-21_13_20_29;sadness
2019-01-21_13_21_31;sadness
2019-01-21_13_22_33;sadness
2019-01-21_13_24_36;happy
2019-01-21_13_25_38;happy
2019-01-21_13_26_40;anger
2019-01-21_13_27_42;anger
2019-01-21_13_32_51;neutral
2019-01-21_13_33_53;happy
2019-01-21_13_34_56;anger
2019-01-21_13_35_58;happy
2019-01-21_13_37_00;neutral
2019-01-21_13_38_02;happy
2019-01-21_13_39_04;neutral
2019-01-21_13_40_06;neutral
2019-01-21_13_41_07;neutral
2019-01-21_13_42_09;neutral
2019-01-21_13_43_11;happy
2019-01-21_13_44_13;neutral
2019-01-21_13_52_28;happy
2019-01-21_13_53_31;neutral
2019-01-21_13_54_32;happy
2019-01-21_13_55_34;happy
2019-01-21_13_56_36;happy
2019-01-21_13_57_38;happy
2019-01-21_13_58_41;happy
2019-01-21_13_59_44;happy
2019-01-21_14_00_46;anger
2019-01-21_14_01_48;happy
2019-01-21_14_02_50;happy
2019-01-21_14_03_52;happy
2019-01-21_14_05_56;neutral
2019-01-21_14_06_58;neutral
2019-01-21_14_07_59;neutral
2019-01-22_10_38_57;happy
2019-01-22_10_40_02;happy
2019-01-22_10_41_04;neutral
2019-01-22_10_42_06;happy
2019-01-22_10_43_08;neutral
2019-01-22_10_44_10;happy
2019-01-22_10_45_12;happy
2019-01-22_10_46_14;sadness
2019-01-22_10_47_16;neutral
